"Frequency","Power"
5.17913e+09,-87.9558
5.17913e+09,-99.9549
5.17913e+09,-107.259
5.17913e+09,-97.5842
5.17913e+09,-98.1153
5.17913e+09,-97.9797
5.17913e+09,-95.963
5.17913e+09,-95.689
5.17913e+09,-101.551
5.17913e+09,-106.483
5.17913e+09,-105.935
5.17914e+09,-97.0225
5.17914e+09,-99.2211
5.17914e+09,-91.1234
5.17914e+09,-87.3025
5.17914e+09,-91.0308
5.17914e+09,-98.5328
5.17914e+09,-97.2982
5.17914e+09,-95.4595
5.17914e+09,-97.4694
5.17914e+09,-102.914
5.17914e+09,-94.0556
5.17914e+09,-92.1478
5.17914e+09,-96.0949
5.17914e+09,-95.6316
5.17914e+09,-92.6423
5.17914e+09,-96.6271
5.17914e+09,-107.981
5.17914e+09,-103.034
5.17914e+09,-94.1131
5.17915e+09,-96.2611
5.17915e+09,-99.696
5.17915e+09,-93.7205
5.17915e+09,-91.2011
5.17915e+09,-90.9163
5.17915e+09,-89.96
5.17915e+09,-90.1545
5.17915e+09,-102.036
5.17915e+09,-101.342
5.17915e+09,-100.255
5.17915e+09,-107.645
5.17915e+09,-96.0272
5.17915e+09,-96.4198
5.17915e+09,-95.8865
5.17915e+09,-97.5341
5.17915e+09,-89.4945
5.17915e+09,-93.9218
5.17915e+09,-94.506
5.17915e+09,-97.5819
5.17915e+09,-96.6357
5.17916e+09,-91.8183
5.17916e+09,-92.8389
5.17916e+09,-97.8304
5.17916e+09,-94.2219
5.17916e+09,-95.3831
5.17916e+09,-93.9287
5.17916e+09,-101.374
5.17916e+09,-105.477
5.17916e+09,-107.307
5.17916e+09,-104.806
5.17916e+09,-103.61
5.17916e+09,-96.9331
5.17916e+09,-101.754
5.17916e+09,-93.9137
5.17916e+09,-93.4731
5.17916e+09,-94.5678
5.17916e+09,-94.5299
5.17916e+09,-100.34
5.17916e+09,-95.6872
5.17917e+09,-99.8083
5.17917e+09,-105.611
5.17917e+09,-101.214
5.17917e+09,-99.5651
5.17917e+09,-93.4319
5.17917e+09,-90.1638
5.17917e+09,-93.2739
5.17917e+09,-94.9179
5.17917e+09,-93.6761
5.17917e+09,-89.4237
5.17917e+09,-91.3013
5.17917e+09,-92.685
5.17917e+09,-95.9822
5.17917e+09,-93.2185
5.17917e+09,-95.8168
5.17917e+09,-99.0275
5.17917e+09,-98.1503
5.17917e+09,-95.9984
5.17917e+09,-88.5886
5.17917e+09,-87.0609
5.17918e+09,-93.6439
5.17918e+09,-97.1969
5.17918e+09,-94.856
5.17918e+09,-94.7002
5.17918e+09,-99.2515
5.17918e+09,-92.3204
5.17918e+09,-90.2204
5.17918e+09,-90.1713
5.17918e+09,-101.18
5.17918e+09,-106.068
5.17918e+09,-98.4535
5.17918e+09,-102.727
5.17918e+09,-120.406
5.17918e+09,-96.9259
5.17918e+09,-99.2799
5.17918e+09,-92.7747
5.17918e+09,-94.5807
5.17918e+09,-99.2639
5.17918e+09,-97.507
5.17919e+09,-100.817
5.17919e+09,-95.7398
5.17919e+09,-98.1599
5.17919e+09,-107.81
5.17919e+09,-107.573
5.17919e+09,-97.3971
5.17919e+09,-92.4369
5.17919e+09,-91.7956
5.17919e+09,-98.2904
5.17919e+09,-93.4776
5.17919e+09,-88.8728
5.17919e+09,-90.7068
5.17919e+09,-96.4827
5.17919e+09,-99.4251
5.17919e+09,-103.437
5.17919e+09,-100.786
5.17919e+09,-101.463
5.17919e+09,-97.9781
5.17919e+09,-94.3341
5.17919e+09,-96.4339
5.1792e+09,-96.5042
5.1792e+09,-92.931
5.1792e+09,-99.8237
5.1792e+09,-91.0829
5.1792e+09,-91.9805
5.1792e+09,-95.3853
5.1792e+09,-104.148
5.1792e+09,-95.1866
5.1792e+09,-99.1994
5.1792e+09,-99.7377
5.1792e+09,-97.4638
5.1792e+09,-100.49
5.1792e+09,-91.8318
5.1792e+09,-89.7878
5.1792e+09,-88.5331
5.1792e+09,-94.3694
5.1792e+09,-95.6347
5.1792e+09,-89.9604
5.1792e+09,-91.3878
5.17921e+09,-96.4
5.17921e+09,-97.3997
5.17921e+09,-96.7435
5.17921e+09,-100.895
5.17921e+09,-95.9226
5.17921e+09,-89.9362
5.17921e+09,-91.9568
5.17921e+09,-99.1232
5.17921e+09,-95.0177
5.17921e+09,-103.187
5.17921e+09,-93.7334
5.17921e+09,-100.736
5.17921e+09,-91.1404
5.17921e+09,-91.6713
5.17921e+09,-95.1665
5.17921e+09,-94.8774
5.17921e+09,-113.198
5.17921e+09,-92.8868
5.17921e+09,-92.0951
5.17921e+09,-91.3799
5.17922e+09,-91.4206
5.17922e+09,-95.5438
5.17922e+09,-91.0001
5.17922e+09,-96.5049
5.17922e+09,-94.2755
5.17922e+09,-88.8374
5.17922e+09,-91.5501
5.17922e+09,-97.6001
5.17922e+09,-101.082
5.17922e+09,-89.9534
5.17922e+09,-93.5919
5.17922e+09,-95.2942
5.17922e+09,-95.6308
5.17922e+09,-91.7874
5.17922e+09,-91.3814
5.17922e+09,-89.1164
5.17922e+09,-88.5206
5.17922e+09,-93.8691
5.17922e+09,-98.3187
5.17923e+09,-100.435
5.17923e+09,-104.506
5.17923e+09,-95.9784
5.17923e+09,-90.7638
5.17923e+09,-97.1007
5.17923e+09,-89.5086
5.17923e+09,-97.5261
5.17923e+09,-96.0943
5.17923e+09,-95.8912
5.17923e+09,-101.675
5.17923e+09,-108.636
5.17923e+09,-95.8808
5.17923e+09,-90.5087
5.17923e+09,-89.9271
5.17923e+09,-90.1372
5.17923e+09,-95.2511
